Network,S,Sp,N,Np,Overall
variant_56,0.5309742103471962,0.16001836364469213,0.15450736005157406,0.10543201583685136,0.12040105861227873
variant_57,0.6098203342945467,0.26873254899450316,0.5877296658429136,0.3168757424429911,0.4246001766054069
variant_58,0.5984845102940284,0.4250293214628851,0.6109840519424701,0.4721925775550302,0.5428591113784738
variant_59,0.5844508937626287,0.24542232688415844,0.35728867672566,0.1693951406140637,0.2686669664018983
variant_5,0.643709704439182,0.4832579109477866,0.5636003622465422,0.46080571281074567,0.5591919264164555
variant_60,0.9337088361685772,0.2476060779766378,0.5141751983913796,0.28795310599250845,0.4978092245222356
variant_61,0.7686206946197132,0.36452442909008553,0.7701269397841868,0.42663476688267066,0.6244501632434591
variant_62,0.9662042708068626,0.36490844489668817,0.4785031236089581,0.3325275056187702,0.5558180089818043
variant_63,1.0,0.5247154170874815,1.0,0.6003258610138955,0.9150912852142932
variant_64,0.6821516622187289,0.12800344114578444,0.20971925892953047,0.11927223234876738,0.18919812265804703
variant_65,0.7453575422459622,0.4886730217869566,0.5574452409093,0.3831887020356137,0.5677052905001092
variant_66,0.8726503092718048,0.33517424046528355,0.6971711000936311,0.4260654236454555,0.6248720673760637
variant_67,0.540704748282316,0.29406797750099933,0.4032755683126372,0.18940496747833757,0.2945812731282759
variant_68,0.7758265723976905,0.5168823265716576,0.812644860243442,0.5720346779719598,0.7514632040643201
variant_69,0.8477728979712822,0.8133984173064466,0.8158068427757907,0.687569948345558,0.9295319989009023
variant_6,0.8202875225763506,0.20514783825029426,0.4919645735160936,0.19165128534152842,0.39751222615637855
variant_70,0.7040214154651707,0.21753476954327589,0.3867749313113018,0.200926404260509,0.32448273405418754
variant_71,0.6333353466165192,0.5166124800042144,0.6024958172803876,0.4612301323148511,0.5819641341599182
variant_72,0.7676873474995247,0.18175904983446323,0.5282352760594944,0.305675208212703,0.42467276612741073
variant_73,0.7107031782459785,0.5786743651479416,0.9161153663141408,0.5873241318149671,0.7936551870282114
variant_74,0.3041254074050741,0.2578997226870712,0.3398056762191288,0.31188622534594934,0.2164554444125531
variant_75,0.8234293470973668,0.40257176767783065,0.6794271592810324,0.46539151379412536,0.6394048515950042
variant_76,0.7925851946737339,0.38825070189892585,0.46478073339575454,0.312631547401939,0.4885998196833001
variant_77,0.7956796394504124,0.1980242159938186,0.4841210149042956,0.253668291416989,0.4057153058297129
variant_78,0.562407273649228,0.3273959180211232,0.5900013814486793,0.39999985507626645,0.459926707435332
variant_79,0.6544889355420267,0.18059059796898502,0.29430996638474927,0.1588778182684334,0.24370540066288837
variant_7,0.7338660123055902,0.4518783713820582,0.6429722635804072,0.503889468325029,0.6254368181243626
variant_80,0.6846785700968354,0.41425517584749905,0.6786596877925981,0.44616841576672917,0.5856515721111326
variant_81,0.7576263640658212,0.24658903191353687,0.4335446438164823,0.1994875186246401,0.3712662287265884
variant_82,0.5089349230149196,0.14305232099615495,0.15553577184607592,0.08365204908960111,0.09855845308528827
variant_83,0.8992613365722519,0.35648539207445396,0.735867012540484,0.46800014099008846,0.6718612685863801
variant_84,0.7072570503095008,0.3917518500026276,0.5592257747624672,0.32921496314770593,0.49927366908007015
variant_85,0.5128737227979485,0.2917125637044098,0.31295952355370016,0.21832760392881978,0.2611065950666363
variant_86,0.5525112597643727,0.23826997994645893,0.2683387312161356,0.1417664660663398,0.21176554770471395
variant_87,0.6427001536798329,0.18619125824180038,0.2725444749727548,0.13750156763484522,0.22567412688955418
